date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:06	137228/137228	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Sep%202021%2004:45:05%20GMT	https://www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon.eot?	C:/copy22222/ghf/www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicond41d.eot	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:06	57300/57300	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Sep%202021%2004:45:05%20GMT	https://www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon.woff2?v=2.3.3	C:/copy22222/ghf/www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon7067.woff2	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:06	137144/137144	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Sep%202021%2004:45:06%20GMT	https://www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon.woff?v=2.3.3	C:/copy22222/ghf/www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon7067.woff	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:06	137068/137068	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2029%20Jul%202021%2022:49:35%20GMT	https://www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon.ttf?v=2.3.3	C:/copy22222/ghf/www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon7067.ttf	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:07	550393/550393	---MCZ	200	added ('OK')	image/svg+xml	etag:%223886914-865f9-5c84aeac39494%22	https://www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon.svg?v=2.3.3	C:/copy22222/ghf/www.plani.co.kr/_res/xeicon-2.3.3/fonts/xeicon7067.svg	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:07	78748/78748	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Sep%202021%2004:45:06%20GMT	https://www.plani.co.kr/_res/themify/themify.eot?-fvbane	C:/copy22222/ghf/www.plani.co.kr/_res/themify/themify9f24.eot	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:07	78748/78748	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Sep%202021%2004:45:06%20GMT	https://www.plani.co.kr/_res/themify/themify.eot?	C:/copy22222/ghf/www.plani.co.kr/_res/themify/themifyd41d.eot	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:07	56108/56108	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Sep%202021%2004:45:07%20GMT	https://www.plani.co.kr/_res/themify/themify.woff?-fvbane	C:/copy22222/ghf/www.plani.co.kr/_res/themify/themify9f24.woff	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:08	1901/1901	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Sep%202021%2004:45:07%20GMT	https://www.plani.co.kr/_res/themify/themify.ttf?-fvbane	C:/copy22222/ghf/www.plani.co.kr/_res/themify/themify9f24.ttf	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:08	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:%223885adb-3931d-5c84aea768679%22	https://www.plani.co.kr/_res/themify/themify.svg?-fvbane	C:/copy22222/ghf/www.plani.co.kr/_res/themify/themify9f24.svg	(from https://www.plani.co.kr/_files/minify/72ecda1c04cec898fa18de19fa1b208a.css)
13:45:08	21460/21460	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:07%20GMT	https://www.plani.co.kr/plani/css/default.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/default.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:08	7610/7610	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:08%20GMT	https://www.plani.co.kr/plani/css/font.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/font.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:09	20984/20984	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:08%20GMT	https://www.plani.co.kr/plani/css/common.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/common.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:09	11984/11984	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:08%20GMT	https://www.plani.co.kr/plani/css/layout.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/layout.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:09	19205/19205	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:08%20GMT	https://www.plani.co.kr/plani/css/jquery-ui.min.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/jquery-ui.min.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:09	66343/66343	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:09%20GMT	https://www.plani.co.kr/plani/css/content.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/content.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:09	18/18	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:09%20GMT	https://www.plani.co.kr/plani/css/board.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/board.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:10	42200/42200	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:09%20GMT	https://www.plani.co.kr/plani/css/jquery.mCustomScrollbar.min.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/jquery.mCustomScrollbar.min.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:10	36300/36300	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:09%20GMT	https://www.plani.co.kr/plani/css/xeicon.min.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/xeicon.min.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:10	1776/1776	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:10%20GMT	https://www.plani.co.kr/plani/css/slick.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/slick.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:10	2662/2662	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:10%20GMT	https://www.plani.co.kr/plani/css/respond/layout.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/respond/layout.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:11	26390/26390	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:10%20GMT	https://www.plani.co.kr/plani/css/respond/contents.css	C:/copy22222/ghf/www.plani.co.kr/plani/css/respond/contents.css	(from https://www.plani.co.kr/plani/css/css.css?q=014443)
13:45:11	623415/623415	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:10%20GMT	https://www.plani.co.kr/_files/minify/d09dbffaffde26aa7c5ee8018aee4c6b.js	C:/copy22222/ghf/www.plani.co.kr/_files/minify/d09dbffaffde26aa7c5ee8018aee4c6b.js	(from https://www.plani.co.kr/)
13:45:11	48123/48123	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:11%20GMT	https://www.plani.co.kr/_res/plani/module.js?q=014446	C:/copy22222/ghf/www.plani.co.kr/_res/plani/modulebcdf.js	(from https://www.plani.co.kr/)
13:45:12	88955/88955	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:11%20GMT	https://www.plani.co.kr/plani/js/slick.js?q=014446	C:/copy22222/ghf/www.plani.co.kr/plani/js/slickbcdf.js	(from https://www.plani.co.kr/)
13:45:12	4617/4617	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:11%20GMT	https://www.plani.co.kr/plani/js/common.js?q=014446	C:/copy22222/ghf/www.plani.co.kr/plani/js/commonbcdf.js	(from https://www.plani.co.kr/)
13:45:12	3145/3145	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:11%20GMT	https://www.plani.co.kr/plani/js/main.js?q=014446	C:/copy22222/ghf/www.plani.co.kr/plani/js/mainbcdf.js	(from https://www.plani.co.kr/)
13:45:12	556/556	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:12%20GMT	https://www.plani.co.kr/plani/css/css.css?q=014446	C:/copy22222/ghf/www.plani.co.kr/plani/css/cssbcdf.css	(from https://www.plani.co.kr/)
13:45:12	11295/11295	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:12%20GMT	https://www.plani.co.kr/plani/css/main.css?q=014446	C:/copy22222/ghf/www.plani.co.kr/plani/css/mainbcdf.css	(from https://www.plani.co.kr/)
13:45:13	714/714	---M-Z	200	added ('OK')	image/svg+xml	etag:%22388536b-2ca-5c84ae9d69deb%22	https://www.plani.co.kr/plani/images/main/btn_up.svg	C:/copy22222/ghf/www.plani.co.kr/plani/images/main/btn_up.svg	(from https://www.plani.co.kr/)
13:45:13	705/705	---M-Z	200	added ('OK')	image/svg+xml	etag:%22388536c-2c1-5c84ae9d6c113%22	https://www.plani.co.kr/plani/images/main/btn_up_hover.svg	C:/copy22222/ghf/www.plani.co.kr/plani/images/main/btn_up_hover.svg	(from https://www.plani.co.kr/)
13:45:13	742/742	---M-Z	200	added ('OK')	image/svg+xml	etag:%22388536a-2e6-5c84ae9d676dc%22	https://www.plani.co.kr/plani/images/main/btn_down.svg	C:/copy22222/ghf/www.plani.co.kr/plani/images/main/btn_down.svg	(from https://www.plani.co.kr/)
13:45:13	733/733	---M-Z	200	added ('OK')	image/svg+xml	etag:%223885368-2dd-5c84ae9d5fdc4%22	https://www.plani.co.kr/plani/images/main/btn_down_hover.svg	C:/copy22222/ghf/www.plani.co.kr/plani/images/main/btn_down_hover.svg	(from https://www.plani.co.kr/)
13:45:14	15012/15012	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:13%20GMT	https://www.plani.co.kr/plani/js/contents.js?q=014446	C:/copy22222/ghf/www.plani.co.kr/plani/js/contentsbcdf.js	(from https://www.plani.co.kr/businesses)
13:45:14	0/0	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:13%20GMT	https://www.plani.co.kr/businesses/css?q=014446	C:/copy22222/ghf/www.plani.co.kr/businesses/cssbcdf.css	(from https://www.plani.co.kr/businesses)
13:45:15	48123/48123	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:14%20GMT	https://www.plani.co.kr/_res/plani/module.js?q=014447	C:/copy22222/ghf/www.plani.co.kr/_res/plani/module1b21.js	(from https://www.plani.co.kr/branding)
13:45:15	968895/968895	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2004:45:13%20GMT	https://www.plani.co.kr/_html/images/contents/business_img.jpg	C:/copy22222/ghf/www.plani.co.kr/_html/images/contents/business_img.jpg	(from https://www.plani.co.kr/businesses)
13:45:15	4617/4617	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:14%20GMT	https://www.plani.co.kr/plani/js/common.js?q=014447	C:/copy22222/ghf/www.plani.co.kr/plani/js/common1b21.js	(from https://www.plani.co.kr/branding)
13:45:15	15012/15012	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:14%20GMT	https://www.plani.co.kr/plani/js/contents.js?q=014447	C:/copy22222/ghf/www.plani.co.kr/plani/js/contents1b21.js	(from https://www.plani.co.kr/branding)
13:45:15	0/0	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:14%20GMT	https://www.plani.co.kr/branding/css?q=014447	C:/copy22222/ghf/www.plani.co.kr/branding/css1b21.css	(from https://www.plani.co.kr/branding)
13:45:15	556/556	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:15%20GMT	https://www.plani.co.kr/plani/css/css.css?q=014447	C:/copy22222/ghf/www.plani.co.kr/plani/css/css1b21.css	(from https://www.plani.co.kr/branding)
13:45:16	237317/237317	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:15%20GMT	https://www.plani.co.kr/plani/images/contents/history_img01.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/history_img01.png	(from https://www.plani.co.kr/branding)
13:45:16	129264/129264	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:15%20GMT	https://www.plani.co.kr/plani/images/contents/history_img02.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/history_img02.png	(from https://www.plani.co.kr/branding)
13:45:16	193423/193423	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:15%20GMT	https://www.plani.co.kr/plani/images/contents/history_img03.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/history_img03.png	(from https://www.plani.co.kr/branding)
13:45:16	229342/229342	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:16%20GMT	https://www.plani.co.kr/plani/images/contents/history_img04.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/history_img04.png	(from https://www.plani.co.kr/branding)
13:45:16	273279/273279	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:16%20GMT	https://www.plani.co.kr/plani/images/contents/space_img01.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img01.png	(from https://www.plani.co.kr/branding)
13:45:17	667515/667515	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:16%20GMT	https://www.plani.co.kr/plani/images/contents/space_img02.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img02.png	(from https://www.plani.co.kr/branding)
13:45:17	440315/440315	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:16%20GMT	https://www.plani.co.kr/plani/images/contents/space_img03.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img03.png	(from https://www.plani.co.kr/branding)
13:45:17	452072/452072	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:16%20GMT	https://www.plani.co.kr/plani/images/contents/space_img04.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img04.png	(from https://www.plani.co.kr/branding)
13:45:17	636332/636332	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:17%20GMT	https://www.plani.co.kr/plani/images/contents/space_img05.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img05.png	(from https://www.plani.co.kr/branding)
13:45:17	161286/161286	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:17%20GMT	https://www.plani.co.kr/plani/images/contents/space_img06.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img06.png	(from https://www.plani.co.kr/branding)
13:45:18	950262/950262	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:17%20GMT	https://www.plani.co.kr/plani/images/contents/space_img07.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img07.png	(from https://www.plani.co.kr/branding)
13:45:18	450759/450759	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:17%20GMT	https://www.plani.co.kr/plani/images/contents/space_img08.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img08.png	(from https://www.plani.co.kr/branding)
13:45:18	122332/122332	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:18%20GMT	https://www.plani.co.kr/plani/images/contents/space_img09.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img09.png	(from https://www.plani.co.kr/branding)
13:45:18	646286/646286	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:18%20GMT	https://www.plani.co.kr/plani/images/contents/space_img10.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img10.png	(from https://www.plani.co.kr/branding)
13:45:19	453201/453201	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:18%20GMT	https://www.plani.co.kr/plani/images/contents/space_img11.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img11.png	(from https://www.plani.co.kr/branding)
13:45:19	483132/483132	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:18%20GMT	https://www.plani.co.kr/plani/images/contents/space_img12.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img12.png	(from https://www.plani.co.kr/branding)
13:45:19	135286/135286	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:18%20GMT	https://www.plani.co.kr/plani/images/contents/space_img13.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img13.png	(from https://www.plani.co.kr/branding)
13:45:19	637700/637700	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:19%20GMT	https://www.plani.co.kr/plani/images/contents/space_img14.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img14.png	(from https://www.plani.co.kr/branding)
13:45:19	168597/168597	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:19%20GMT	https://www.plani.co.kr/plani/images/contents/space_img15.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img15.png	(from https://www.plani.co.kr/branding)
13:45:20	740013/740013	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:19%20GMT	https://www.plani.co.kr/plani/images/contents/space_img16.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img16.png	(from https://www.plani.co.kr/branding)
13:45:20	503372/503372	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:19%20GMT	https://www.plani.co.kr/plani/images/contents/space_img18.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img18.png	(from https://www.plani.co.kr/branding)
13:45:20	439129/439129	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:19%20GMT	https://www.plani.co.kr/plani/images/contents/space_img17.png	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/space_img17.png	(from https://www.plani.co.kr/branding)
13:45:21	276496/276496	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Sep%202021%2004:45:20%20GMT	https://www.plani.co.kr/plani/react-app/dist/feedback.js?q=014447	C:/copy22222/ghf/www.plani.co.kr/plani/react-app/dist/feedback1b21.js	(from https://www.plani.co.kr/feedback)
13:45:21	0/0	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:20%20GMT	https://www.plani.co.kr/feedback/css?q=014447	C:/copy22222/ghf/www.plani.co.kr/feedback/css1b21.css	(from https://www.plani.co.kr/feedback)
13:45:21	0/0	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Sep%202021%2004:45:20%20GMT	https://www.plani.co.kr/culture/css?q=014447	C:/copy22222/ghf/www.plani.co.kr/culture/css1b21.css	(from https://www.plani.co.kr/culture)
13:45:22	1520579/1520579	---MCZ	200	added ('OK')	image/png	date:Fri,%2017%20Sep%202021%2004:45:21%20GMT	https://www.plani.co.kr/plani/video/thumnail.png	C:/copy22222/ghf/www.plani.co.kr/plani/video/thumnail.png	(from https://www.plani.co.kr/culture)
13:45:22	72965/72965	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2017%20Sep%202021%2004:45:21%20GMT	https://www.plani.co.kr/plani/images/contents/welfare_life.jpg	C:/copy22222/ghf/www.plani.co.kr/plani/images/contents/welfare_life.jpg	(from https://www.plani.co.kr/culture)
